# step, plaquette
5, 0.723302
10, 0.760505
15, 0.765029
20, 0.765025
25, 0.766474
30, 0.765472
35, 0.766805
40, 0.766259
45, 0.767712
50, 0.76675
55, 0.766769
60, 0.766985
65, 0.767536
70, 0.767536
75, 0.767536
80, 0.767536
85, 0.767917
90, 0.767419
95, 0.766525
100, 0.76688
105, 0.766938
110, 0.766828
115, 0.766274
120, 0.767525
125, 0.768503
130, 0.76879
135, 0.76879
140, 0.767819
145, 0.76762
150, 0.767347
155, 0.766524
160, 0.766632
165, 0.76828
170, 0.76828
175, 0.767167
180, 0.766647
185, 0.766886
190, 0.767542
195, 0.767663
200, 0.768277
205, 0.767656
210, 0.767656
215, 0.769144
220, 0.767797
225, 0.767797
230, 0.766746
235, 0.766213
240, 0.766064
245, 0.767725
250, 0.767047
255, 0.767253
260, 0.767788
265, 0.767058
270, 0.767484
275, 0.766716
280, 0.768044
285, 0.768044
290, 0.768222
295, 0.768222
