# step, acceptance, delta_H
1, -79.2463, 1
1, 1, -79.2463
2, -44.308, 1
2, 1, -44.308
3, -28.745, 1
3, 1, -28.745
4, -19.8037, 1
4, 1, -19.8037
5, -12.6357, 1
5, 1, -12.6357
6, -10.4922, 1
6, 1, -10.4922
7, -8.76302, 1
7, 1, -8.76302
8, -3.24339, 1
8, 1, -3.24339
9, -4.23531, 1
9, 1, -4.23531
10, -0.969095, 1
10, 1, -0.969095
11, -2.11462, 1
11, 1, -2.11462
12, -1.55117, 1
12, 1, -1.55117
13, -0.964426, 1
13, 1, -0.964426
14, -1.4184, 1
14, 1, -1.4184
15, 1.59975, 0.9375
15, 0.9375, 1.59975
16, -0.685131, 0.941176
16, 0.941176, -0.685131
17, -0.618978, 0.944444
17, 0.944444, -0.618978
18, -0.710475, 0.947368
18, 0.947368, -0.710475
19, -0.469081, 0.95
19, 0.95, -0.469081
20, -1.14142, 0.952381
20, 0.952381, -1.14142
21, -1.4195, 0.954545
21, 0.954545, -1.4195
22, -1.14888, 0.956522
22, 0.956522, -1.14888
23, 0.323027, 0.916667
23, 0.916667, 0.323027
24, 0.187263, 0.92
24, 0.92, 0.187263
25, 1.17845, 0.884615
25, 0.884615, 1.17845
26, 0.0582096, 0.888889
26, 0.888889, 0.0582096
27, 1.86151, 0.892857
27, 0.892857, 1.86151
28, -0.796844, 0.896552
28, 0.896552, -0.796844
29, 0.558302, 0.9
29, 0.9, 0.558302
30, 1.06004, 0.870968
30, 0.870968, 1.06004
31, 2.09311, 0.84375
31, 0.84375, 2.09311
32, 1.4501, 0.848485
32, 0.848485, 1.4501
33, -1.27394, 0.852941
33, 0.852941, -1.27394
34, 2.33445, 0.857143
34, 0.857143, 2.33445
35, -1.05046, 0.861111
35, 0.861111, -1.05046
36, 1.49737, 0.837838
36, 0.837838, 1.49737
37, -0.794616, 0.842105
37, 0.842105, -0.794616
38, -0.306302, 0.846154
38, 0.846154, -0.306302
39, 0.940151, 0.85
39, 0.85, 0.940151
40, 0.769889, 0.829268
40, 0.829268, 0.769889
41, -1.74464, 0.833333
41, 0.833333, -1.74464
42, 0.785371, 0.837209
42, 0.837209, 0.785371
43, 1.72433, 0.840909
43, 0.840909, 1.72433
44, -0.0110306, 0.844444
44, 0.844444, -0.0110306
45, -1.39408, 0.847826
45, 0.847826, -1.39408
46, 0.204994, 0.851064
46, 0.851064, 0.204994
47, 0.95239, 0.854167
47, 0.854167, 0.95239
48, 0.0669808, 0.857143
48, 0.857143, 0.0669808
49, 0.850927, 0.86
49, 0.86, 0.850927
50, -0.0155383, 0.862745
50, 0.862745, -0.0155383
51, 0.765509, 0.846154
51, 0.846154, 0.765509
52, 1.08761, 0.830189
52, 0.830189, 1.08761
53, 0.570573, 0.814815
53, 0.814815, 0.570573
54, 0.216229, 0.818182
54, 0.818182, 0.216229
55, 0.160998, 0.821429
55, 0.821429, 0.160998
56, -0.164772, 0.824561
56, 0.824561, -0.164772
57, 1.12613, 0.810345
57, 0.810345, 1.12613
58, 0.39915, 0.813559
58, 0.813559, 0.39915
59, 0.870402, 0.8
59, 0.8, 0.870402
60, 0.920058, 0.786885
60, 0.786885, 0.920058
61, -0.3896, 0.790323
61, 0.790323, -0.3896
62, 1.50747, 0.777778
62, 0.777778, 1.50747
63, -0.148194, 0.78125
63, 0.78125, -0.148194
64, -1.61456, 0.784615
64, 0.784615, -1.61456
65, 0.00952036, 0.787879
65, 0.787879, 0.00952036
66, 1.12804, 0.776119
66, 0.776119, 1.12804
67, 1.49733, 0.779412
67, 0.779412, 1.49733
68, 1.00955, 0.768116
68, 0.768116, 1.00955
69, 1.88671, 0.757143
69, 0.757143, 1.88671
70, -1.61353, 0.760563
70, 0.760563, -1.61353
71, 0.487037, 0.763889
71, 0.763889, 0.487037
72, 0.963638, 0.767123
72, 0.767123, 0.963638
73, 0.031686, 0.77027
73, 0.77027, 0.031686
74, 1.49443, 0.76
74, 0.76, 1.49443
75, 0.648489, 0.763158
75, 0.763158, 0.648489
76, -0.124283, 0.766234
76, 0.766234, -0.124283
77, 0.0619838, 0.75641
77, 0.75641, 0.0619838
78, 0.625119, 0.746835
78, 0.746835, 0.625119
79, 0.347815, 0.7375
79, 0.7375, 0.347815
80, 1.56739, 0.728395
80, 0.728395, 1.56739
81, 0.336298, 0.719512
81, 0.719512, 0.336298
82, 1.84379, 0.710843
82, 0.710843, 1.84379
83, 2.41838, 0.702381
83, 0.702381, 2.41838
84, 2.17272, 0.694118
84, 0.694118, 2.17272
85, -1.16144, 0.697674
85, 0.697674, -1.16144
86, 0.0120436, 0.701149
86, 0.701149, 0.0120436
87, -0.111328, 0.704545
87, 0.704545, -0.111328
88, 1.07402, 0.696629
88, 0.696629, 1.07402
89, 1.953, 0.7
89, 0.7, 1.953
90, 1.79162, 0.692308
90, 0.692308, 1.79162
91, 2.12248, 0.684783
91, 0.684783, 2.12248
92, 1.4928, 0.688172
92, 0.688172, 1.4928
93, 1.37672, 0.680851
93, 0.680851, 1.37672
94, -1.17658, 0.684211
94, 0.684211, -1.17658
95, 2.175, 0.677083
95, 0.677083, 2.175
96, 2.13072, 0.680412
96, 0.680412, 2.13072
97, -0.21127, 0.683673
97, 0.683673, -0.21127
98, -0.173039, 0.686869
98, 0.686869, -0.173039
99, 0.459306, 0.69
99, 0.69, 0.459306
100, -0.187545, 0.693069
100, 0.693069, -0.187545
101, 0.491848, 0.696078
101, 0.696078, 0.491848
102, 0.913452, 0.68932
102, 0.68932, 0.913452
103, 0.330798, 0.682692
103, 0.682692, 0.330798
104, -0.0955411, 0.685714
104, 0.685714, -0.0955411
105, 0.422328, 0.688679
105, 0.688679, 0.422328
106, 0.388422, 0.691589
106, 0.691589, 0.388422
107, 0.70307, 0.685185
107, 0.685185, 0.70307
108, 1.38396, 0.678899
108, 0.678899, 1.38396
109, -0.0600215, 0.681818
109, 0.681818, -0.0600215
110, 0.739972, 0.675676
110, 0.675676, 0.739972
111, -0.770381, 0.678571
111, 0.678571, -0.770381
112, 0.17997, 0.681416
112, 0.681416, 0.17997
113, 0.119968, 0.684211
113, 0.684211, 0.119968
114, 0.815856, 0.678261
114, 0.678261, 0.815856
115, 0.673545, 0.672414
115, 0.672414, 0.673545
116, 1.1473, 0.666667
116, 0.666667, 1.1473
117, 1.16354, 0.661017
117, 0.661017, 1.16354
118, 0.210573, 0.663866
118, 0.663866, 0.210573
119, 1.16239, 0.666667
119, 0.666667, 1.16239
120, 2.47573, 0.669421
120, 0.669421, 2.47573
121, 0.336085, 0.663934
121, 0.663934, 0.336085
122, -0.329859, 0.666667
122, 0.666667, -0.329859
123, -0.677218, 0.669355
123, 0.669355, -0.677218
124, -0.174987, 0.672
124, 0.672, -0.174987
125, 1.3804, 0.666667
125, 0.666667, 1.3804
126, -0.247324, 0.669291
126, 0.669291, -0.247324
127, -0.440615, 0.671875
127, 0.671875, -0.440615
128, 1.46554, 0.666667
128, 0.666667, 1.46554
129, 2.66638, 0.661538
129, 0.661538, 2.66638
130, 0.411812, 0.656489
130, 0.656489, 0.411812
131, 1.13687, 0.651515
131, 0.651515, 1.13687
132, -1.4629, 0.654135
132, 0.654135, -1.4629
133, 3.20502, 0.649254
